Rank,book title,book price,rating,author,year of publication,url,genre_clean
12,Night (Night),6.26,4.7,Elie Wiesel,1960,amazon.com/Night-Elie-Wiesel/dp/0374500010/ref=zg_bs_g_books_sccl_12/143-9831347-1043253?psc=1,Memoir
13,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,13.79,4.8,James Clear,2018,amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299/ref=zg_bs_g_books_sccl_13/143-9831347-1043253?psc=1,Self-Improvement|Nonfiction
14,Stocking Stuffer Mad Libs: World's Greatest Word Game,2.79,4.8,Leigh Olsen,2018,amazon.com/Stocking-Stuffer-Libs-Leigh-Olsen/dp/1524788139/ref=zg_bs_g_books_sccl_14/143-9831347-1043253?psc=1,Childrens|Storytime|Fiction
15,The 48 Laws of Power,13.82,4.7,Robert Greene,1998,amazon.com/48-Laws-Power-Robert-Greene/dp/0140280197/ref=zg_bs_g_books_sccl_15/143-9831347-1043253?psc=1,Nonfiction
16,The Great Disappearance: 31 Ways to be Rapture Ready,18.84,4.6,David Jeremiah,2023,amazon.com/Great-Disappearance-Ways-Rapture-Ready/dp/078525224X/ref=zg_bs_g_books_sccl_16/143-9831347-1043253?psc=1,Spiritual Warfare|Biblical Studies - Prophecy|Christian Theology - Eschatology
17,Lessons in Chemistry: A Novel,15.37,4.6,Bonnie Garmus,2022,amazon.com/Lessons-Chemistry-Novel-Bonnie-Garmus/dp/038554734X/ref=zg_bs_g_books_sccl_17/143-9831347-1043253?psc=1,Fiction|Historical Fiction
18,The Exchange: After The Firm (The Firm Series),18.96,4.1,John Grisham,2023,amazon.com/Exchange-After-Firm/dp/0385548958/ref=zg_bs_g_books_sccl_18/143-9831347-1043253?psc=1,Literary|Thrillers - Suspense
19,Taylor Swift: A Little Golden Book Biography,4.78,4.9, Wendy Loggia,2023,amazon.com/Taylor-Swift-Little-Golden-Biography/dp/0593566718/ref=zg_bs_g_books_sccl_19/143-9831347-1043253?psc=1,Picture Books|Biography
20,Don't Let the Pigeon Drive the Sleigh!,11.99,4.8,Mo Willems,2023,amazon.com/Dont-Let-Pigeon-Drive-Sleigh/dp/1454952776/ref=zg_bs_g_books_sccl_20/143-9831347-1043253?psc=1,Picture Books|Christmas|Holiday|Humor|Childrens|Fiction|Animals
21,Turkey Trouble,8.79,4.8,Wendi Silvano,2009,amazon.com/Turkey-Trouble-Wendi-Silvano/dp/0761455299/ref=zg_bs_g_books_sccl_21/143-9831347-1043253?psc=1,Picture Books|Childrens|Holiday|Animals|Humor|Storytime|Fiction
22,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",9.68,4.8,Bessel van der Kolk,2014,amazon.com/Body-Keeps-Score-Healing-Trauma/dp/0143127748/ref=zg_bs_g_books_sccl_22/143-9831347-1043253?psc=1,Nonfiction|Psychology|Self Help|Mental Health|Health|Science
23,"A Court of Thorns and Roses (A Court of Thorns and Roses, 1)",8.89,4.6,Sarah J. Maas,2015,amazon.com/Court-Thorns-Roses-Sarah-Maas/dp/1635575567/ref=zg_bs_g_books_sccl_23/143-9831347-1043253?psc=1,Fantasy|Romance|Young Adult|Fiction|New Adult|Fae
24,A Little Life,11.83,4.5,Hanya Yanagihara,2015,amazon.com/Little-Life-Hanya-Yanagihara/dp/0804172706/ref=zg_bs_g_books_sccl_24/143-9831347-1043253?psc=1,Fiction|Contemporary|Lgbt|Literary Fiction|Queer|Adult|Mental Health
25,"House of Flame and Shadow (Crescent City, 3)",18.48,,Sarah J. Maas,2023,amazon.com/House-Flame-Shadow-Crescent-City/dp/1635574102/ref=zg_bs_g_books_sccl_25/143-9831347-1043253?psc=1,Fantasy|Dragons|Young Adult|Fiction|High Fantasy|Magic|Science Fiction|Fantasy
26,"World of Eric Carle, Around the Farm 30-Button Animal Sound Book - Great for First Words - PI Kids",9.43,4.8,Editors of Publications International,2013,amazon.com/World-Carle-Around-Play-Sound/dp/1450805752/ref=zg_bs_g_books_sccl_26/143-9831347-1043253?psc=1,Childrens|Activities|Crafts|Games
27,"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)",3.78,4.9,Sherri Duskey Rinker,2011,amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/1452111731/ref=zg_bs_g_books_sccl_27/143-9831347-1043253?psc=1,Picture Book|Cars And Trucks
28,The Leaf Thief: (The Perfect Fall Book for Children and Toddlers),10.39,4.8,Alice Hemming,2021,amazon.com/Leaf-Thief-Alice-Hemming/dp/1728235200/ref=zg_bs_g_books_sccl_28/143-9831347-1043253?psc=1,Childrens
29,Murtagh: The World of Eragon (The Inheritance Cycle),22.48,4.8,Christopher Paolini,2023,amazon.com/Murtagh-World-Eragon-Inheritance-Cycle/dp/0593650867/ref=zg_bs_g_books_sccl_29/143-9831347-1043253?psc=1,Fantasy|Dragons|Young Adult|Fiction|High Fantasy|Magic|Science Fiction|Fantasy
30,"Brown Bear, Brown Bear, What Do You See?",4.94,4.9,Bill Martin Jr.,1967,amazon.com/Brown-Bear-What-You-See/dp/0805047905/ref=zg_bs_g_books_sccl_30/143-9831347-1043253?psc=1,Picture Book|Colors|Wild Animals
31,Balloons over Broadway: The True Story of the Puppeteer of Macy's Parade (Bank Street College of Education Flora Stieglitz St,12.19,4.9,Bill Martin Jr.,1967,amazon.com/Balloons-over-Broadway-Puppeteer-Education/dp/0547199457/ref=zg_bs_g_books_sccl_31/143-9831347-1043253?psc=1,Childrens|Literature
32,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),7.74,4.7,Melissa Sweet,2011,amazon.com/Four-Agreements-Practical-Personal-Freedom/dp/1878424319/ref=zg_bs_g_books_sccl_32/143-9831347-1043253?psc=1,Picture Book
33,The Housemaid,8.11,4.5,Don Miguel Ruiz,1997,amazon.com/Housemaid-Freida-McFadden/dp/1538742578/ref=zg_bs_g_books_sccl_33/143-9831347-1043253?psc=1,Spirituality|Self-Help|Personal Growth
34,How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,19.89,4.5,Alice Walstead,2022,amazon.com/How-Know-Person-Seeing-Others/dp/059323006X/ref=zg_bs_g_books_sccl_34/143-9831347-1043253?psc=1,Thriller|Mystery|Suspense
35,The Very Hungry Caterpillar,5.9,4.9,David Brooks,2023,amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907/ref=zg_bs_g_books_sccl_35/143-9831347-1043253?psc=1,Nonfiction
36,How to Catch a Reindeer,5.99,4.8,Eric Carle,1969,amazon.com/How-Catch-Reindeer-Alice-Walstead/dp/1728276136/ref=zg_bs_g_books_sccl_36/143-9831347-1043253?psc=1,Childrens|Literature
37,Pookie's Thanksgiving (Little Pookie),6.99,4.9,Alice Walstead,2022,amazon.com/Pookies-Thanksgiving-Little-Pookie-Boynton/dp/166592263X/ref=zg_bs_g_books_sccl_37/143-9831347-1043253?psc=1,Childrens|Literature
38,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",12.68,4.7,Sandra Boynton,2022,amazon.com/Psychology-Money-Timeless-lessons-happiness/dp/0857197681/ref=zg_bs_g_books_sccl_38/143-9831347-1043253?psc=1,Picture Books|Childrens|Holiday
39,The Seven Husbands of Evelyn Hugo: A Novel,9.49,4.6,Morgan Housel,2020,amazon.com/Seven-Husbands-Evelyn-Hugo-Novel/dp/1501161938/ref=zg_bs_g_books_sccl_39/143-9831347-1043253?psc=1,Finance|Nonfiction|Psychology|Business|Self Help|Money|Economics
40,I Love You to the Moon and Back,4.76,4.9,Taylor Jenkins Reid,2017,amazon.com/I-Love-You-Moon-Back/dp/1589255518/ref=zg_bs_g_books_sccl_40/143-9831347-1043253?psc=1,Historical Fiction
41,Outlive: The Science and Art of Longevity,16.99,4.7,Peter Attia,2023,amazon.com/Outlive-Longevity-Peter-Attia-MD/dp/0593236599/ref=zg_bs_g_books_sccl_41/143-9831347-1043253?psc=1,Health|Nonfiction|Science|Self Help
42,Hundred Years' War on Palestine,12.99,4.6,Rashid Khalidi,2019,amazon.com/Hundred-Years-War-Palestine-Colonialism/dp/1250787653/ref=zg_bs_g_books_sccl_42/143-9831347-1043253?psc=1,History|Nonfiction|Politics|War
43,Little Blue Truck's Christmas: A Christmas Holiday Book for Kids,11.2,4.8,Alice Schertle,2014,amazon.com/Little-Trucks-Christmas-Alice-Schertle/dp/0544320417/ref=zg_bs_g_books_sccl_43/143-9831347-1043253?psc=1,Childrens|Literature
44,Goodnight Moon,5.36,4.9,Margaret Wise Brown,1947,amazon.com/Goodnight-Moon-Margaret-Wise-Brown/dp/0694003611/ref=zg_bs_g_books_sccl_44/143-9831347-1043253?psc=1,Childrens|Literature
45,I Am Thankful: A Thanksgiving Book for Kids,7.99,4.7,Sheri Wall,2020,amazon.com/Am-Thankful-Thanksgiving-Book-Kids/dp/1646115538/ref=zg_bs_g_books_sccl_45/143-9831347-1043253?psc=1,Picture Books|Childrens
46,"How to Be the Love You Seek: Break Cycles, Find Peace, and Heal Your Relationships",20.11,,Nicole LePera,2023,amazon.com/How-Love-You-Seek-Relationships/dp/0063267748/ref=zg_bs_g_books_sccl_46/143-9831347-1043253?psc=1,Self Help|Nonfiction|Mental Health|Psychology|Personal Development|Relationships
47,A Court of Thorns and Roses Paperback Box Set (5 books),48.77,4.8,Sarah J. Maas,2021,amazon.com/Court-Thorns-Roses-Paperback-books/dp/1639730192/ref=zg_bs_g_books_sccl_47/143-9831347-1043253?psc=1,Fantasy|Romance
48,Where's Bluey?: A Search-and-Find Book,6.93,4.8, Penguin Young Readers Licenses (,2022,amazon.com/Wheres-Bluey-Search-Find-Book/dp/0593385691/ref=zg_bs_g_books_sccl_48/143-9831347-1043253?psc=1,Childrens|Storytime|Fiction
49,The Wonderful Things You Will Be,9.4,4.9,Emily Winfield Martin,2015,amazon.com/Wonderful-Things-You-Will-Be/dp/0385376715/ref=zg_bs_g_books_sccl_49/143-9831347-1043253?psc=1,Picture Books|Childrens|Fiction|Poetry
50,How to Catch a Dinosaur,4.66,4.8,Adam Wallace,2019,amazon.com/How-Catch-Dinosaur-Adam-Wallace/dp/1492680524/ref=zg_bs_g_books_sccl_50/143-9831347-1043253?psc=1,Picture Books|Dinosaurs|Childrens|Fiction|Storytime|Fantasy|Animals
51,Hidden Potential: The Science of Achieving Greater Things,21.0,4.4,Adam M. Grant,2023,amazon.com/Hidden-Potential-Science-Achieving-Greater/dp/0593653149/ref=zg_bs_g_books_sccl_1/142-7825522-0098658?psc=1,Nonfiction|Self Help|Psychology|Business|Leadership|Personal Development
52,Resurrection Walk (Lincoln Lawyer),20.98,5.0,Michael Connelly,2023,amazon.com/Resurrection-Walk-Michael-Connelly/dp/0316563765/ref=zg_bs_g_books_sccl_2/142-7825522-0098658?psc=1,Fiction|Mystery|Thriller|Suspense|Crime|Legal Thriller
53,The Christmas Fix,9.49,4.6,Lucy Score,2017,amazon.com/Christmas-Fix-Lucy-Score/dp/1728295149/ref=zg_bs_g_books_sccl_3/142-7825522-0098658?psc=1,Christmas|Romance|Holiday|Contemporary Romance|Contemporary Fiction|Humor
54,Flash Cards: Sight Words,2.88,4.8, Scholastic,2018,amazon.com/Flash-Cards-Scholastic-Teacher-Resources/dp/1338233580/ref=zg_bs_g_books_sccl_4/142-7825522-0098658?psc=1,Educational Material|Childrens
55,I Love You Like No Otter: A Funny and Sweet Animal Board Book for Babies and Toddlers this Christmas (Punderland),5.37,4.9,Rose Rossner,2020,amazon.com/Love-You-Like-No-Otter/dp/1728213746/ref=zg_bs_g_books_sccl_5/142-7825522-0098658?psc=1,Picture Books|Animals|Childrens|Fiction|Love|Family|Humor
56,Chicka Chicka Boom Boom (Board Book),4.32,4.9,"Bill Martin Jr., John Archambault",1989,amazon.com/Chicka-Boom-Board-Book/dp/1442450703/ref=zg_bs_g_books_sccl_6/142-7825522-0098658?psc=1,Fiction|Alphabet
57,"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Rec",12.15,4.8,Snoop Dogg,2018,amazon.com/Crook-Cook-Platinum-Recipes-Kitchen/dp/1452179611/ref=zg_bs_g_books_sccl_7/142-7825522-0098658?psc=1,Cookbooks|Cooking
58,The Shadow Work Journal: A Guide to Integrate and Transcend your Shadows,17.28,4.6,Keila Shaheen,2021,amazon.com/Shadow-Work-Journal-Integrate-Transcend/dp/B09KN2QCML/ref=zg_bs_g_books_sccl_8/142-7825522-0098658?psc=1,Self Help|Psychology
59,"Interesting Facts For Curious Minds: 1572 Random But Mind-Blowing Facts About History, Science, Pop Culture And Everything In",12.89,4.6,Jordan Moore,2022,amazon.com/Interesting-Facts-Curious-Minds-Mind-Blowing/dp/B0B6XFT4RH/ref=zg_bs_g_books_sccl_9/142-7825522-0098658?psc=1,Nonfiction
60,There Was an Old Lady Who Swallowed a Turkey!,6.28,4.8,Lucille Colandro,2016,amazon.com/There-Was-Lady-Swallowed-Turkey/dp/0545931908/ref=zg_bs_g_books_sccl_10/142-7825522-0098658?psc=1,Picture Books|Holiday|Childrens|Fiction|Storytime|Humor
61,Elon Musk,20.99,4.7,Walter Isaacson,2023,amazon.com/Elon-Musk-Walter-Isaacson/dp/1982181281/ref=zg_bs_g_books_sccl_11/142-7825522-0098658?psc=1,Biography|Nonfiction|Business|Technology
62,The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,9.97,4.8,Americas Test Kitchen Kids,2018,amazon.com/Complete-Cookbook-Young-Chefs/dp/1492670022/ref=zg_bs_g_books_sccl_12/142-7825522-0098658?psc=1,Cookbook
63,Llama Llama Gives Thanks,5.67,4.7,Anna Dewdney,2017,amazon.com/Llama-Gives-Thanks-Anna-Dewdney/dp/110199715X/ref=zg_bs_g_books_sccl_13/142-7825522-0098658?psc=1,Picture Books|Childrens|Holiday|Animals|Kids Fiction
64,Tom Lake: A Reese's Book Club Pick,15.33,4.3,Ann Patchett,2023,amazon.com/Tom-Lake-Novel-Ann-Patchett/dp/006332752X/ref=zg_bs_g_books_sccl_14/142-7825522-0098658?psc=1,Literary|Medical|Family Life - General|World Literature - India - General
65,The Covenant of Water (Oprah's Book Club),16.79,4.6,Abraham Verghese,2023,amazon.com/Covenant-Water-Abraham-Verghese/dp/0802162177/ref=zg_bs_g_books_sccl_15/142-7825522-0098658?psc=1,Fiction|Mystery
66,Dirty Thirty (30) (Stephanie Plum),20.98,4.7,Janet Evanovich,2021,amazon.com/Dirty-Thirty-30-Stephanie-Plum/dp/1668003090/ref=zg_bs_g_books_sccl_16/142-7825522-0098658?psc=1,Dark|Thriller|Fantasy|Adult|Contemporary|Mystery|Horror
67,How to Catch an Elf,6.94,4.8,Adam Wallace,2016,amazon.com/How-Catch-Elf-Adam-Wallace/dp/1492646318/ref=zg_bs_g_books_sccl_17/142-7825522-0098658?psc=1,Christmas|Picture Books|Holiday|Childrens|Fantasy|Humor|Fiction
68,"School Zone - Multiplication 0-12 Flash Cards - Ages 8+, 3rd Grade, 4th Grade, Elementary Math, Multiplication Facts, Common ",2.78,4.7,School Zone Publishing,1994,amazon.com/School-Zone-Multiplication-Grades-Concentration/dp/0938256939/ref=zg_bs_g_books_sccl_18/142-7825522-0098658?psc=1,Educational Material
69,"Hello, Baby Animals: A Durable High-Contrast Black-and-White Board Book for Newborns and Babies (High-Contrast Books)",4.73,4.9,"duopress labs, Julissa Mora",2016,amazon.com/Hello-Baby-Animals-High-Contrast-Book/dp/1938093682/ref=zg_bs_g_books_sccl_19/142-7825522-0098658?psc=1,Childrens|Picture Books|Animals
70,Haunting Adeline (Cat and Mouse Duet),13.36,4.4,H.D. Carlton,2021,amazon.com/Haunting-Adeline-Cat-Mouse-Duet/dp/B09CGGV8DX/ref=zg_bs_g_books_sccl_20/142-7825522-0098658?psc=1,Dark|Thriller|Fantasy|Adult|Contemporary|Mystery|Horror
71,Verity,10.98,4.6,Colleen Hoover,2018,amazon.com/Verity-Colleen-Hoover/dp/1538724731/ref=zg_bs_g_books_sccl_21/142-7825522-0098658?psc=1,Thriller|Romance|Mystery|Fiction
72,"A Court of Mist and Fury (A Court of Thorns and Roses, 2)",12.79,4.8,Sarah J. Maas,2016,amazon.com/Court-Mist-Fury-Thorns-Roses/dp/1635575583/ref=zg_bs_g_books_sccl_22/142-7825522-0098658?psc=1,Fantasy|Romance|Young Adult|New Adult|Fiction
73,The Creative Act: A Way of Being,17.49,4.7,Rick Rubin,2023,amazon.com/Creative-Act-Way-Being/dp/0593652886/ref=zg_bs_g_books_sccl_23/142-7825522-0098658?psc=1,Nonfiction|Art|Music|Philosophy|Self Help|Writing|Design
74,My First Library : Boxset of 10 Board Books for Kids (My First Book of),16.74,4.6,Not available,2018,amazon.com/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_g_books_sccl_24/142-7825522-0098658?psc=1,Childrens
75,"Forever Strong: A New, Science-Based Strategy for Aging Well",20.63,4.6,Gabrielle Lyon,2023,amazon.com/Forever-Strong-Science-Based-Strategy-Aging/dp/1668007878/ref=zg_bs_g_books_sccl_25/142-7825522-0098658?psc=1,Health|Nonfiction|Nutrition|Fitness|Self Help|Science
76,Where's Spot?,4.97,4.9,Eric Hill,1980,amazon.com/Wheres-Spot-Eric-Hill/dp/0399240462/ref=zg_bs_g_books_sccl_26/142-7825522-0098658?psc=1,Childrens
77,Demon Copperhead: A Pulitzer Prize Winner,19.5,4.6,Barbara Kingsolver,2022,amazon.com/Demon-Copperhead-Novel-Barbara-Kingsolver/dp/0063251922/ref=zg_bs_g_books_sccl_27/142-7825522-0098658?psc=1,Fiction
78,Israel: A Simple Guide to the Most Misunderstood Country on Earth,15.59,4.7,Noa Tishby,2021,amazon.com/Israel-Simple-Guide-Misunderstood-Country/dp/1982144947/ref=zg_bs_g_books_sccl_28/142-7825522-0098658?psc=1,Nonfiction|History|Politics|Israel|Jewish|Judaism|Religion
79,Remarkably Bright Creatures: A Read with Jenna Pick,15.99,4.6,Shelby Van Pelt,2024,amazon.com/Remarkably-Bright-Creatures-Shelby-Pelt/dp/0063204150/ref=zg_bs_g_books_sccl_29/142-7825522-0098658?psc=1,Fiction
80,Harry Potter Paperback Box Set (Books 1-7),45.22,4.9,J.K. Rowling,2014,amazon.com/Harry-Potter-Paperback-Box-Books/dp/0545162076/ref=zg_bs_g_books_sccl_30/142-7825522-0098658?psc=1,Childrens|Young Adult|Fantasy|Science Fiction|Amp; Horror
81,Just Because,12.69,4.6,Matthew McConaughey,2023,amazon.com/Just-Because-Matthew-McConaughey/dp/0593622030/ref=zg_bs_g_books_sccl_81/142-7825522-0098658?psc=1,Picture Books|Childrens|Fiction
82,If Animals Kissed Good Night,4.19,4.8,Ann Whitford Paul,2008,amazon.com/If-Animals-Kissed-Good-Night/dp/0374300216/ref=zg_bs_g_books_sccl_82/142-7825522-0098658?psc=1,Picture Books|Childrens|Animals|Fiction|Family|Storytime|Poetry
83,Things We Never Got Over (Knockemout),8.93,4.5,Lucy Score,2022,amazon.com/Things-We-Never-Got-Over/dp/194563183X/ref=zg_bs_g_books_sccl_83/142-7825522-0098658?psc=1,Romance|Contemporary|Contemporary Romance|Fiction|Adult|Chick Lit
84,Five Silly Turkeys,5.99,4.8,Salina Yoon,2005,amazon.com/Five-Silly-Turkeys-Salina-Yoon/dp/0843114169/ref=zg_bs_g_books_sccl_84/142-7825522-0098658?psc=1,Picture Books|Childrens|Holiday|Storytime|Counting|Animals|Number
85,Paint by Sticker Kids: Christmas: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,6.06,4.8,Workman Publishing,2019,amazon.com/Paint-Sticker-Kids-Workman-Publishing/dp/152350675X/ref=zg_bs_g_books_sccl_85/142-7825522-0098658?psc=1,Childrens Literature
86,Love Comes First,17.99,,Emily Giffin,2016,amazon.com/Love-Comes-First-Jenna-Hager/dp/0316525022/ref=zg_bs_g_books_sccl_86/142-7825522-0098658?psc=1,Fiction|Romance|Contemporary|Audiobook|Adult|Adult Fiction
87,The Ballad of Songbirds and Snakes (A Hunger Games Novel) (The Hunger Games),15.79,4.6,Suzanne Collins,2020,amazon.com/Ballad-Songbirds-Snakes-Hunger-Games/dp/1338635174/ref=zg_bs_g_books_sccl_87/142-7825522-0098658?psc=1,Adventure|War|Science Fiction|Romance|Action|Thriller
88,"A Court of Wings and Ruin (A Court of Thorns and Roses, 3)",11.56,4.8,Sarah J. Maas,2017,amazon.com/Court-Wings-Ruin-Thorns-Roses/dp/1635575605/ref=zg_bs_g_books_sccl_88/142-7825522-0098658?psc=1,Fantasy
89,The Shadow Work Journal 2nd Edition: a Guide to Integrate and Transcend Your Shadows: The Essential Guidebook for Shadow Work,18.46,4.7,Keila Shaheen,2023,amazon.com/Shadow-Work-Journal-2nd-Integrate/dp/B0BW31X61X/ref=zg_bs_g_books_sccl_89/142-7825522-0098658?psc=1,Self Help
90,"Harry Potter and the Prisoner of Azkaban (Harry Potter, Book 3) (MinaLima Edition)",25.97,4.9,J.K. Rowling,1999,amazon.com/Harry-Potter-Prisoner-Azkaban-MinaLima/dp/1338815288/ref=zg_bs_g_books_sccl_90/142-7825522-0098658?psc=1,Fantasy
91,"Moo, Baa, La La La!",3.69,4.9,Sandra Boynton,1982,amazon.com/Moo-Baa-Sandra-Boynton/dp/067144901X/ref=zg_bs_g_books_sccl_91/142-7825522-0098658?psc=1,Childrens Literature|Picture Book
92,The Coworker,9.44,4.2,Freida McFadden,2023,amazon.com/Coworker-Freida-McFadden/dp/172829620X/ref=zg_bs_g_books_sccl_92/142-7825522-0098658?psc=1,Thriller|Mystery
93,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,6.31,4.7,Robert Kiyosaki,1997,amazon.com/Rich-Dad-Poor-Teach-Middle/dp/1612681131/ref=zg_bs_g_books_sccl_93/142-7825522-0098658?psc=1,Personal Finance
94,Percy Jackson and the Olympians: The Chalice of the Gods (Percy Jackson & the Olympians),15.63,4.7,Rick Riordan,2023,amazon.com/Percy-Jackson-Olympians-Chalice-Gods/dp/1368098177/ref=zg_bs_g_books_sccl_94/142-7825522-0098658?psc=1,Fantasy|Adventure|Mythology
95,Paw Patrol Phonics: 12 Books in 1,8.25,4.6,Jennifer Liberts,2015,amazon.com/Patrol-Phonics-Step-into-Reading/dp/0553508784/ref=zg_bs_g_books_sccl_95/142-7825522-0098658?psc=1,Childrens
96,First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning R,11.4,4.7,Deborah Schecter,2010,amazon.com/First-Little-Readers-Parent-Pack/dp/0545231493/ref=zg_bs_g_books_sccl_96/142-7825522-0098658?psc=1,Nonfiction
97,Hatchet,5.14,4.7,Gary Paulsen,1987,amazon.com/Hatchet-Gary-Paulsen/dp/1416936475/ref=zg_bs_g_books_sccl_97/142-7825522-0098658?psc=1,Young Adult Novel|Adventure Novel|Survival Story
98,"The Wager: A Tale of Shipwreck, Mutiny and Murder",15.3,4.5,David Grann,2023,amazon.com/Wager-Tale-Shipwreck-Mutiny-Murder/dp/0385534264/ref=zg_bs_g_books_sccl_98/142-7825522-0098658?psc=1,Nonfiction
99,"I'm Dead, Now What?: Important Information About My Belongings, Business Affairs, and Wishes",12.99,4.6,Peter Pauper Press,2015,amazon.com/Important-Information-Belongings-Business-Affairs/dp/1441317996/ref=zg_bs_g_books_sccl_99/142-7825522-0098658?psc=1,Nonfiction
100,The Wonky Donkey,5.28,4.8,Craig Smith,2009,amazon.com/Wonky-Donkey-Craig-Smith/dp/0545261244/ref=zg_bs_g_books_sccl_100/142-7825522-0098658?psc=1,Childrens|Picture Books
